% Model:              5_1_e-6_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 13:02
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.01                                              0.9989073372201841+1.101813952683772E-9i
0.01088401916069006                               0.9989073372203233+1.199216249048764E-9i
0.011846187309026836                              0.998907337220553+1.3052290559817983E-9i
0.01289341296525715                               0.9989073372207979+1.4206135378104705E-9i
0.014033215376054847                              0.9989073372210729+1.5461981360501016E-9i
0.01527377850390714                               0.9989073372214256+1.6828845699110204E-9i
0.016624009789266127                              0.998907337221839+1.8316541976233714E-9i
0.018093604107387164                              0.9989073372222931+1.9935751982218865E-9i
0.01969311337907423                               0.9989073372228534+2.1698100969470546E-9i
0.021434022335148566                              0.9989073372235558+2.3616242184526215E-9i
0.023328830978641572                              0.9989073372243629+2.5703947230518645E-9i
0.02539114433680347                               0.9989073372252838+2.7976204696957877E-9i
0.027635770147361603                              0.9989073372263932+3.0449328009722638E-9i
0.03007882518043099                               0.9989073372277171+3.3141072591470685E-9i
0.03273785095948577                               0.9989073372293068+3.6070762638558116E-9i
0.03563193971228586                               0.9989073372311671+3.925942973312774E-9i
0.03878187145610724                               0.9989073372333704+4.272996483325993E-9i
0.04221026320156901                               0.9989073372359405+4.650728011284379E-9i
0.04594173134636476                               0.9989073372390344+5.061848992919583E-9i
0.05000306842491095                               0.9989073372426754+5.509310321162036E-9i
0.054423435483002665                              0.9989073372470645+5.996323504150398E-9i
0.05923457145875806                               0.9989073372521553+6.526383673320295E-9i
0.06447102107323872                               0.9989073372582897+7.103294584734588E-9i
0.07017038286703829                               0.998907337265469+7.731195604911464E-9i
0.07637357916378024                               0.998907337274021+8.414591701710593E-9i
0.08312514989890632                               0.9989073372841513+9.158385037867207E-9i
0.09047357242349298                               0.9989073372961305+9.967910011175159E-9i
0.09847160957933775                               0.9989073373103068+1.0848971455307181E-8i
0.10717668854455034                               0.9989073373271405+1.1807885428460084E-8i
0.11665131316981968                               0.9989073373470756+1.2851524175628219E-8i
0.1269635127659974                                0.9989073373706963+1.3987364476857306E-8i
0.13818733056536328                               0.9989073373987071+1.5223540224517468E-8i
0.15040335536380253                               0.998907337431878+1.6568899422895E-8i
0.16369930016117026                               0.9989073374711084+1.8033066559369565E-8i
0.17817063195457308                               0.9989073375175737+1.962650825565919E-8i
0.193921257206583                                 0.9989073375726201+2.136060634201307E-8i
0.21106426791015548                               0.9989073376378115+2.3247734973578815E-8i
