% Model:              random_surface_grain_N_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 12:22
% Table:              N = 20, b = 1, w/ MW - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 200 b 1.1
0.01                                              0.9989272829242868+1.038984668730812E-9i
0.01088401916069006                               0.9989272829244115+1.1308331020494257E-9i
0.011846187309026836                              0.9989272829245819+1.2308010284229013E-9i
0.01289341296525715                               0.9989272829247782+1.339605994385529E-9i
0.014033215376054847                              0.9989272829249906+1.4580294834029221E-9i
0.01527377850390714                               0.9989272829252421+1.586921939650779E-9i
0.016624009789266127                              0.9989272829255439+1.7272086257273528E-9i
0.018093604107387164                              0.9989272829258998+1.8798967673797768E-9i
0.01969311337907423                               0.9989272829263389+2.0460828165186927E-9i
0.021434022335148566                              0.9989272829268158+2.226959736055887E-9i
0.023328830978641572                              0.9989272829274465+2.4238263065060414E-9i
0.02539114433680347                               0.9989272829281437+2.638095974943729E-9i
0.027635770147361603                              0.9989272829289924+2.871307186720879E-9i
0.03007882518043099                               0.9989272829299877+3.125134176679971E-9i
0.03273785095948577                               0.9989272829311632+3.4013994195017057E-9i
0.03563193971228586                               0.9989272829325416+3.70208632040309E-9i
0.03878187145610724                               0.9989272829342296+4.029353444380073E-9i
0.04221026320156901                               0.9989272829361687+4.3855502921097956E-9i
0.04594173134636476                               0.9989272829384935+4.773234062722564E-9i
0.05000306842491095                               0.9989272829412184+5.195187641243496E-9i
0.054423435483002665                              0.9989272829444804+5.654439969163824E-9i
0.05923457145875806                               0.9989272829483468+6.154287508072626E-9i
0.06447102107323872                               0.9989272829529057+6.69831805127636E-9i
0.07017038286703829                               0.9989272829583468+7.2904360112374375E-9i
0.07637357916378024                               0.9989272829647478+7.934890780857538E-9i
0.08312514989890632                               0.9989272829723383+8.636306813287461E-9i
0.09047357242349298                               0.9989272829813592+9.399716751203322E-9i
0.09847160957933775                               0.9989272829920249+1.0230597309659734E-8i
0.10717668854455034                               0.9989272830046371+1.1134908442816441E-8i
0.11665131316981968                               0.9989272830196173+1.2119135361538754E-8i
0.1269635127659974                                0.9989272830373553+1.319033508574084E-8i
0.13818733056536328                               0.9989272830583934+1.4356186028458086E-8i
0.15040335536380253                               0.9989272830833041+1.562504253951841E-8i
0.16369930016117026                               0.998927283112748+1.7005993914136077E-8i
0.17817063195457308                               0.9989272831476748+1.8508927809690534E-8i
0.193921257206583                                 0.9989272831890587+2.014459989539844E-8i
0.21106426791015548                               0.9989272832379965+2.1924708434169103E-8i
0.22972275360711536                               0.9989272832960223+2.3861976243474603E-8i
0.25003068519063254                               0.9989272833648808+2.597023667265049E-8i
0.2721338768375309                                0.998927283446276+2.8264528551595125E-8i
0.2961910329772555                                0.9989272835426919+3.076119929326928E-8i
0.32237488781490303                               0.9989272836569549+3.347801087646607E-8i
0.35087344559027134                               0.9989272837922534+3.6434260422709077E-8i
0.3818913304781854                                0.9989272839525148+3.9650903243093E-8i
0.4156512558225992                                0.9989272841422115+4.3150684475632736E-8i
0.45239562325380556                               0.9989272843670413+4.6958282903052464E-8i
0.49238826317067413                               0.9989272846332242+5.110045608021315E-8i
0.5359163290848518                                0.9989272849484147+5.560619852466015E-8i
0.5832923594286206                                0.998927285321572+6.050689759347039E-8i
0.634856521630522                                 0.9989272857634685+6.583650006197602E-8i
0.6909790545715645                                0.9989272862865799+7.163167671030393E-8i
0.752062926959241                                 0.9989272869057746+7.793197999362014E-8i
0.8185467307069029                                0.9989272876385348+8.478000109455639E-8i
0.8909078300934142                                0.9989272885056848+9.222150860933615E-8i
0.9696657893145525                                0.9989272895316457+1.0030555705909477E-7i
1.0553861030365241                                0.9989272907451393+1.0908456952471904E-7i
1.1486842567375548                                0.9989272921800064+1.1861436285560097E-7i
1.250230145991456                                 0.9989272938762135+1.2895409540218046E-7i
1.3607528864243346                                0.9989272958804551+1.401661331241349E-7i
1.4810460488806754                                0.9989272982475843+1.523157661021888E-7i
1.6119733573881587                                0.9989273010418998+1.6547077343075335E-7i
1.7544748908334598                                0.9989273043382506+1.79700745660529E-7i
1.9095738328780987                                0.9989273082239557+1.9507614962454874E-7i
2.0783838185797574                                0.9989273128003274+2.1166702509198645E-7i
2.2621169304690265                                0.9989273181843971+2.295412420028663E-7i
2.462092401494628                                 0.9989273245110794+2.4876222026138496E-7i
2.679746087325692                                 0.9989273319345654+2.693860022076723E-7i
2.9166407760237067                                0.998927340630391+2.9145755418230517E-7i
3.1744774091091936                                0.9989273507966083+3.150062062424535E-7i
3.4551072945922217                                0.9989273626544004+3.4004010150528884E-7i
3.760545399658172                                 0.9989273764481542+3.665396281926705E-7i
4.092984818452442                                 0.998927392443985+3.944498476444107E-7i
4.454812518844989                                 0.9989274109265142+4.236719948415495E-7i
4.848626481239083                                 0.9989274321935043+4.540544570233327E-7i
5.277254352483543                                 0.9989274565473304+4.853836100769268E-7i
5.7437737488265865                                0.9989274842833278+5.173753912496963E-7i
6.251534353689718                                 0.9989275156744287+5.496686989829317E-7i
6.804181968927101                                 0.998927550952187+5.81821959908955E-7i
7.405684692262442                                 0.9989275902843906+6.133145440066677E-7i
8.060361408861345                                 0.998927633751055+6.435546411419156E-7i
8.772912801613366                                 0.9989276813201362+6.718950010222834E-7i
9.548455102782302                                 0.9989277328264359+6.976572183648531E-7i
10.39255682936713                                 0.9989277879561422+7.201642718769294E-7i
11.311278765939225                                0.9989278462413343+7.387796023916868E-7i
12.311217482038908                                0.9989279070666657+7.529492657836463E-7i
13.399552696593398                                0.9989279696894593+7.622427600245409E-7i
14.584098829439863                                0.9989280332737814+7.663872961380789E-7i
15.873361110102103                                0.9989280969339744+7.652905753063872E-7i
17.276596646690383                                0.9989281597852012+7.59048730294903E-7i
18.803880893409165                                0.9989282209927032+7.479381661178162E-7i
20.46617999391992                                 0.9989282798162002+7.323924560723877E-7i
