% Model:              random_surface_grain_N_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 09:55
% Table:              N = 20, b = 1, w/ MW - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 20 b 1.1
0.01                                              0.9989475064708598+7.92789193949752E-10i
0.01088401916069006                               0.9989475064709261+8.628732424842223E-10i
0.011846187309026836                              0.998947506471+9.391528467348787E-10i
0.01289341296525715                               0.9989475064710809+1.0221757026864106E-9i
0.014033215376054847                              0.9989475064711979+1.1125379228980531E-9i
0.01527377850390714                               0.9989475064713091+1.2108883209504412E-9i
0.016624009789266127                              0.9989475064714857+1.3179330434547613E-9i
0.018093604107387164                              0.9989475064716715+1.4344406983669402E-9i
0.01969311337907423                               0.9989475064718734+1.5612478011270136E-9i
0.021434022335148566                              0.9989475064721285+1.6992648520498432E-9i
0.023328830978641572                              0.9989475064724183+1.8494827937464215E-9i
0.02539114433680347                               0.9989475064728054+2.0129802041968744E-9i
0.027635770147361603                              0.9989475064732211+2.19093095602246E-9i
0.03007882518043099                               0.9989475064737042+2.3846127546694976E-9i
0.03273785095948577                               0.9989475064743328+2.595416189461522E-9i
0.03563193971228586                               0.9989475064750373+2.8248547701341E-9i
0.03878187145610724                               0.9989475064758707+3.0745758458902063E-9i
0.04221026320156901                               0.9989475064768645+3.346372301812829E-9i
0.04594173134636476                               0.9989475064780245+3.6421955440859146E-9i
0.05000306842491095                               0.998947506479416+3.964169372204522E-9i
0.054423435483002665                              0.9989475064810215+4.314605390787612E-9i
0.05923457145875806                               0.9989475064830214+4.696019425826665E-9i
0.06447102107323872                               0.9989475064853439+5.111149638819571E-9i
0.07017038286703829                               0.9989475064880824+5.562976118310139E-9i
0.07637357916378024                               0.9989475064913415+6.05474240089751E-9i
0.08312514989890632                               0.99894750649516+6.589978453269098E-9i
0.09047357242349298                               0.9989475064997257+7.172526091465801E-9i
0.09847160957933775                               0.9989475065051376+7.806566512758655E-9i
0.10717668854455034                               0.9989475065115084+8.496650217061968E-9i
0.11665131316981968                               0.9989475065191128+9.24772955355897E-9i
0.1269635127659974                                0.9989475065281284+1.0065193737859845E-8i
0.13818733056536328                               0.9989475065387592+1.0954908119982674E-8i
0.15040335536380253                               0.9989475065514617+1.1923255373879673E-8i
0.16369930016117026                               0.9989475065663609+1.297718091164177E-8i
0.17817063195457308                               0.9989475065840389+1.4124242847194703E-8i
0.193921257206583                                 0.9989475066049539+1.5372665104599937E-8i
0.21106426791015548                               0.9989475066297505+1.673139594495715E-8i
0.22972275360711536                               0.9989475066591841+1.8210171032806705E-8i
0.25003068519063254                               0.9989475066940642+1.981958235131376E-8i
0.2721338768375309                                0.9989475067353047+2.1571152258054332E-8i
0.2961910329772555                                0.9989475067841695+2.347741400170298E-8i
0.32237488781490303                               0.9989475068420647+2.5551999386725765E-8i
0.35087344559027134                               0.9989475069106131+2.780973259696865E-8i
0.3818913304781854                                0.9989475069919342+3.026673228796449E-8i
0.4156512558225992                                0.99894750708809+3.294052061748727E-8i
0.45239562325380556                               0.9989475072020625+3.5850142258496104E-8i
0.49238826317067413                               0.9989475073369939+3.901629193352992E-8i
0.5359163290848518                                0.9989475074969008+4.2461448803745285E-8i
0.5832923594286206                                0.998947507686211+4.621001474944865E-8i
0.634856521630522                                 0.9989475079104858+5.028848947826512E-8i
0.6909790545715645                                0.9989475081760387+5.4725609559979544E-8i
0.752062926959241                                 0.9989475084904967+5.9552531897730235E-8i
0.8185467307069029                                0.9989475088628265+6.48030102053269E-8i
0.8909078300934142                                0.9989475093036897+7.051358012595445E-8i
0.9696657893145525                                0.9989475098256747+7.672374603046358E-8i
1.0553861030365241                                0.9989475104435035+8.347617056405837E-8i
1.1486842567375548                                0.9989475111748253+9.081685778972406E-8i
1.250230145991456                                 0.9989475120401942+9.879532802145021E-8i
1.3607528864243346                                0.9989475130641626+1.0746477023211547E-7i
1.4810460488806754                                0.9989475142754458+1.1688217282696534E-7i
1.6119733573881587                                0.9989475157079932+1.2710840059991066E-7i
1.7544748908334598                                0.9989475174016131+1.382082179327755E-7i
1.9095738328780987                                0.9989475194032383+1.5025022366329033E-7i
2.0783838185797574                                0.998947521768033+1.6330666852446865E-7i
2.2621169304690265                                0.9989475245603315+1.7745312184421827E-7i
2.462092401494628                                 0.9989475278556502+1.9276794025576664E-7i
2.679746087325692                                 0.9989475317420626+2.0933146347002774E-7i
2.9166407760237067                                0.9989475363220118+2.272249001831096E-7i
3.1744774091091936                                0.9989475417143655+2.4652877777023123E-7i
3.4551072945922217                                0.9989475480565696+2.673208788453429E-7i
3.760545399658172                                 0.99894755550651+2.8967354299554806E-7i
4.092984818452442                                 0.9989475642450398+3.136502076046196E-7i
4.454812518844989                                 0.9989475744776629+3.3930102714173444E-7i
4.848626481239083                                 0.9989475864361659+3.6665750219706377E-7i
5.277254352483543                                 0.9989476003790753+3.9572587700435733E-7i
5.7437737488265865                                0.9989476165920457+4.2647951260799207E-7i
6.251534353689718                                 0.9989476353853806+4.58849842784747E-7i
6.804181968927101                                 0.9989476570906212+4.927165722458124E-7i
7.405684692262442                                 0.998947682053717+5.278970384317005E-7i
8.060361408861345                                 0.9989477106249124+5.64135677424103E-7i
8.772912801613366                                 0.9989477431449088+6.010943496799366E-7i
9.548455102782302                                 0.9989477799266763+6.383449144282136E-7i
10.39255682936713                                 0.9989478212328488+6.753657027598046E-7i
11.311278765939225                                0.9989478672497181+7.115437236744707E-7i
12.311217482038908                                0.9989479180591689+7.461844936561164E-7i
13.399552696593398                                0.9989479736107698+7.785311357550594E-7i
14.584098829439863                                0.9989480336973979+8.077933952252451E-7i
15.873361110102103                                0.9989480979386414+8.331861501441668E-7i
17.276596646690383                                0.9989481657749611+8.539751266115206E-7i
18.803880893409165                                0.998948236476789+8.695259923088481E-7i
20.46617999391992                                 0.9989483091694601+8.793513250755043E-7i
22.275429519995587                                0.9989483828733847+8.831494622827627E-7i
24.244620170823307                                0.9989484565559842+8.808297482159798E-7i
26.387891048289347                                0.9989485291894703+8.725202919293969E-7i
28.720631177978312                                0.9989485998090253+8.585570272981547E-7i
31.25959000482281                                 0.9989486675623921+8.394558699752252E-7i
34.02299765678071                                 0.9989487317479715+8.158720088421985E-7i
37.03069584005145                                 0.9989487918368477+7.885521453977623E-7i
40.30428030568055                                 0.9989488474791878+7.582856639856451E-7i
43.867255910485035                                0.9989488984965692+7.258598980692252E-7i
47.745205385661315                                0.9989489448634549+6.920231386424646E-7i
51.96597302486202                                 0.9989489866821049+6.574573014954621E-7i
56.55986461065008                                 0.9989490241544259+6.227605437437081E-7i
61.55986501483514                                 0.9989490575541916+5.884388119475995E-7i
67.0018750350959                                  0.9989490872015833+5.549047177867609E-7i
72.92496916841452                                 0.9989491134411643+5.22481868910952E-7i
79.37167617217558                                 0.9989491366248775+4.914127134595729E-7i
86.38828442740453                                 0.9989491570983747+4.6186838545803514E-7i
94.02517429670142                                 0.9989491751919759+4.3395924392554317E-7i
102.33717986325213                                0.9989491912143328+4.0774525713756327E-7i
111.38398264826206                                0.9989492054489896+3.832456528807365E-7i
121.23054013376529                                0.998949218152839+3.6044748426787534E-7i
131.94755216767086                                0.9989492295560012+3.393130198089095E-7i
143.61196859990804                                0.9989492398625588+3.197859048247145E-7i
156.30754179458174                                0.998949249252091+3.01796258374836E-7i
170.1254279852589                                 0.9989492578809309+2.852647721151421E-7i
185.1648417912158                                 0.9989492658846335+2.7010605414603653E-7i
201.53376859417352                                0.9989492733788403+2.56231346063795E-7i
219.34973989050602                                0.9989492804616416+2.435508149811859E-7i
238.7406771860647                                 0.9989492872148116+2.3197550135567705E-7i
259.84581049292524                                0.9989492937054636+2.214190523734842E-7i
282.81667802300353                                0.9989492999880353+2.11799204318471E-7i
307.81821425650804                                0.9989493061056357+2.030390405947495E-7i
335.02993419772366                                0.998949312092274+1.950679389469932E-7i
364.64722232127525                                0.9989493179749033+1.878221324298595E-7i
396.8827354637166                                 0.9989493237750595+1.812448564380851E-7i
431.96792973341735                                0.9989493295111885+1.7528605826923853E-7i
470.1547224022139                                 0.998949335199952+1.6990166023553442E-7i
511.717300711461                                  0.9989493408578256+1.650525312066271E-7i
556.9540905800136                                 0.9989493465019309+1.607031818690162E-7i
606.1898993497584                                 0.9989493521505013+1.568203520604842E-7i
659.7782479539546                                 0.9989493578228341+1.5337159096647854E-7i
718.1039092537357                                 0.9989493635393588+1.5032392294572742E-7i
781.585670768409                                  0.9989493693202154+1.4764273172990687E-7i
850.679341636417                                  0.9989493751846316+1.4529091359299011E-7i
925.8810253973965                                 0.9989493811493414+1.432284767520402E-7i
1007.7306820944617                                0.9989493872271183+1.414125632377766E-7i
1096.8160052731403                                0.9989493934252048+1.3979806302705374E-7i
1193.7766417144383                                0.9989493997439628+1.3833873070326925E-7i
1299.3087842004172                                0.9989494061757405+1.3698884624270094E-7i
1414.1701702890239                                0.9989494127047608+1.3570517820692273E-7i
1539.1855229902085                                0.9989494193069475+1.3444920919307746E-7i
1675.2524724082173                                0.9989494259509827+1.3318920001978065E-7i
1823.3480008684423                                0.9989494325999527+1.3190200596688255E-7i
1984.5354578058032                                0.9989494392132842+1.305742494397426E-7i
2159.9721947827215                                0.9989494457491662+1.2920288699098813E-7i
2350.917875457289                                 0.9989494521668079+1.277950325753405E-7i
2558.743520168589                                 0.9989494584285354+1.2636711683033092E-7i
2784.94135008065                                  0.9989494645015113+1.2494355576152128E-7i
3031.135501567582                                 0.9989494703587981+1.235551408491599E-7i
3299.0936877709423                                0.9989494759800749+1.2223739687476533E-7i
3590.739891061055                                 0.9989494813513466+1.2102884655633062E-7i
3908.168177536272                                 0.9989494864653065+1.1996963783160156E-7i
4253.657732750392                                 0.9989494913198241+1.1910033616241502E-7i
4629.689226627268                                 0.9989494959181667+1.1846099142039959E-7i
5038.962625065161                                 0.9989495002672211+1.1809052891855347E-7i
5484.416576121026                                 0.9989495043769698+1.18026414958895E-7i
5969.249509970739                                 0.9989495082593075+1.1830454083317395E-7i
6496.942604146125                                 0.9989495119272586+1.189594512891948E-7i
7071.284778943011                                 0.9989495153940127+1.2002463410279016E-7i
7696.399902471167                                 0.9989495186721518+1.2153313852741685E-7i
8376.776400682924                                 0.9989495217734304+1.235182453525952E-7i
9117.29948498494                                  0.9989495247079528+1.2601424296310847E-7i
9923.286228832565                                 0.9989495274841079+1.290572732799173E-7i
10800.52374516254                                 0.9989495301086329+1.3268617985778427E-7i
11755.310738783699                                0.9989495325864938+1.3694328958529098E-7i
12794.50273207876                                 0.9989495349210825+1.4187527059039667E-7i
13925.561288744648                                0.9989495371144886+1.4753379323531255E-7i
15156.607589006044                                0.9989495391679539+1.5397622669491536E-7i
16496.48074098024                                 0.9989495410819275+1.6126621313997427E-7i
17954.80124687834                                 0.9989495428566961+1.6947417098552864E-7i
19542.040079740553                                0.998949544492429+1.7867784294490984E-7i
21269.59386668692                                 0.9989495459896491+1.889627058644132E-7i
23149.866718511657                                0.9989495473494143+2.0042245838915143E-7i
25196.359293170186                                0.9989495485734114+2.131595293104311E-7i
27423.765732649525                                0.9989495496640859+2.2728557410057738E-7i
