% Model:              random_surface_grain_N_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 10:37
% Table:              N = 20, b = 1, w/ MW - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 50 b 1.1
0.01                                              0.9989402863740291+8.198996360398103E-10i
0.01088401916069006                               0.9989402863740553+8.923802948578338E-10i
0.011846187309026836                              0.9989402863741609+9.71268369575414E-10i
0.01289341296525715                               0.9989402863742785+1.057130282513597E-9i
0.014033215376054847                              0.9989402863743725+1.150582546534871E-9i
0.01527377850390714                               0.9989402863745314+1.2522961373554013E-9i
0.016624009789266127                              0.9989402863747215+1.3630013753407636E-9i
0.018093604107387164                              0.998940286374882+1.4834931128760053E-9i
0.01969311337907423                               0.9989402863751489+1.614636510444482E-9i
0.021434022335148566                              0.9989402863754248+1.7573731491479908E-9i
0.023328830978641572                              0.9989402863757892+1.912727906165564E-9i
0.02539114433680347                               0.9989402863762109+2.0818162072632382E-9i
0.027635770147361603                              0.9989402863766768+2.2658520799997487E-9i
0.03007882518043099                               0.998940286377283+2.4661568808042274E-9i
0.03273785095948577                               0.9989402863779113+2.6841687483374826E-9i
0.03563193971228586                               0.998940286378699+2.9214529964523475E-9i
0.03878187145610724                               0.9989402863796765+3.1797132108644666E-9i
0.04221026320156901                               0.9989402863807831+3.4608035604410895E-9i
0.04594173134636476                               0.9989402863820824+3.766742156078002E-9i
0.05000306842491095                               0.9989402863836865+4.099725429244965E-9i
0.054423435483002665                              0.9989402863855098+4.462143934652674E-9i
0.05923457145875806                               0.9989402863877462+4.856599449991008E-9i
0.06447102107323872                               0.9989402863903355+5.285923684383173E-9i
0.07017038286703829                               0.9989402863934119+5.753198539739109E-9i
0.07637357916378024                               0.9989402863970803+6.261778249528165E-9i
0.08312514989890632                               0.9989402864014506+6.8153132977101274E-9i
0.09047357242349298                               0.9989402864065514+7.4177767010221824E-9i
0.09847160957933775                               0.9989402864126621+8.073492214063518E-9i
0.10717668854455034                               0.9989402864198464+8.78716548463705E-9i
0.11665131316981968                               0.9989402864283919+9.563917628199468E-9i
0.1269635127659974                                0.9989402864385558+1.0409321751798865E-8i
0.13818733056536328                               0.9989402864505573+1.1329442338017565E-8i
0.15040335536380253                               0.9989402864648751+1.2330879345386475E-8i
0.16369930016117026                               0.9989402864816579+1.3420814164636643E-8i
0.17817063195457308                               0.9989402865015969+1.4607061304540114E-8i
0.193921257206583                                 0.9989402865251651+1.589812331551642E-8i
0.21106426791015548                               0.998940286553122+1.730325104653999E-8i
0.22972275360711536                               0.9989402865863035+1.8832508927331766E-8i
0.25003068519063254                               0.9989402866256271+2.0496845245242205E-8i
0.2721338768375309                                0.9989402866720898+2.2308169526279875E-8i
0.2961910329772555                                0.9989402867272167+2.4279434307920668E-8i
0.32237488781490303                               0.9989402867925036+2.64247255274548E-8i
0.35087344559027134                               0.9989402868697523+2.875935899225234E-8i
0.3818913304781854                                0.9989402869613807+3.129998407645491E-8i
0.4156512558225992                                0.9989402870697507+3.4064697221260875E-8i
0.45239562325380556                               0.9989402871982397+3.7073161764291175E-8i
0.49238826317067413                               0.998940287350383+4.0346736008029104E-8i
0.5359163290848518                                0.9989402875305737+4.3908612750152106E-8i
0.5832923594286206                                0.9989402877439361+4.7783964462479395E-8i
0.634856521630522                                 0.9989402879967125+5.2000098730573534E-8i
0.6909790545715645                                0.9989402882960196+5.658661943975945E-8i
0.752062926959241                                 0.99894028865037+6.157559949543759E-8i
0.8185467307069029                                0.9989402890699138+6.700175231722102E-8i
0.8909078300934142                                0.998940289566666+7.290261483280022E-8i
0.9696657893145525                                0.9989402901547264+7.931872111861473E-8i
1.0553861030365241                                0.9989402908507485+8.629377950899986E-8i
1.1486842567375548                                0.9989402916744073+9.387483863787299E-8i
1.250230145991456                                 0.9989402926490115+1.0211243104512484E-7i
1.3607528864243346                                0.998940293801912+1.1106069258314382E-7i
1.4810460488806754                                0.9989402951654514+1.207774382427008E-7i
1.6119733573881587                                0.9989402967775218+1.3132418313504802E-7i
1.7544748908334598                                0.9989402986829043+1.4276607189645747E-7i
1.9095738328780987                                0.9989403009338288+1.5517170405906577E-7i
2.0783838185797574                                0.9989403035919824+1.6861281691046978E-7i
2.2621169304690265                                0.998940306728968+1.8316375892716365E-7i
2.462092401494628                                 0.9989403104286836+1.9890074211397046E-7i
2.679746087325692                                 0.9989403147887794+2.1590074291451224E-7i
2.9166407760237067                                0.9989403199222495+2.3424004679988457E-7i
3.1744774091091936                                0.998940325959928+2.539922537875623E-7i
3.4551072945922217                                0.9989403330522001+2.7522570976229604E-7i
3.760545399658172                                 0.9989403413709782+2.9800020340426097E-7i
4.092984818452442                                 0.9989403511116645+3.2236279395682467E-7i
4.454812518844989                                 0.998940362494578+3.4834266493146766E-7i
4.848626481239083                                 0.99894037576549+3.7594492011129237E-7i
5.277254352483543                                 0.9989403911955311+4.0514318960085586E-7i
5.7437737488265865                                0.9989404090792637+4.3587118728551253E-7i
6.251534353689718                                 0.9989404297312262+4.6801329898624765E-7i
6.804181968927101                                 0.9989404534790554+5.013945456985409E-7i
7.405684692262442                                 0.998940480654223+5.357706364758364E-7i
8.060361408861345                                 0.9989405115786315+5.70818836787667E-7i
8.772912801613366                                 0.9989405465471346+6.061310912197584E-7i
9.548455102782302                                 0.9989405858060943+6.412108173191052E-7i
10.39255682936713                                 0.9989406295288197+6.754752414214674E-7i
11.311278765939225                                0.9989406777886495+7.082650599281438E-7i
12.311217482038908                                0.9989407305328641+7.38862813009354E-7i
13.399552696593398                                0.9989407875599361+7.665207313100705E-7i
14.584098829439863                                0.998940848503643+7.904974663583754E-7i
15.873361110102103                                0.9989409128285955+8.101015899336663E-7i
17.276596646690383                                0.9989409798392298+8.24738021073106E-7i
18.803880893409165                                0.9989410487039743+8.339522830413238E-7i
20.46617999391992                                 0.9989411184938003+8.374668749506995E-7i
22.275429519995587                                0.9989411882314552+8.352045039617467E-7i
24.244620170823307                                0.9989412569468907+8.272947839844464E-7i
26.387891048289347                                0.9989413237313884+8.140631930832137E-7i
28.720631177978312                                0.9989413877846206+7.960041172793876E-7i
31.25959000482281                                 0.9989414484499809+7.737419693559526E-7i
34.02299765678071                                 0.9989415052348269+7.479858295091007E-7i
37.03069584005145                                 0.9989415578161+7.194832568610336E-7i
40.30428030568055                                 0.9989416060324017+6.889781646708961E-7i
43.867255910485035                                0.9989416498661199+6.571761099203447E-7i
47.745205385661315                                0.9989416894195914+6.247188228449882E-7i
51.96597302486202                                 0.9989417248883905+5.921680317453566E-7i
56.55986461065008                                 0.9989417565347977+5.599978055017858E-7i
61.55986501483514                                 0.998941784663962+5.285937715520114E-7i
67.0018750350959                                  0.998941809603101+4.982573673076578E-7i
72.92496916841452                                 0.998941831685535+4.692134324719744E-7i
79.37167617217558                                 0.9989418512378107+4.4161963209424543E-7i
86.38828442740453                                 0.9989418685712093+4.155765405049072E-7i
94.02517429670142                                 0.9989418839758899+3.9113753442113705E-7i
102.33717986325213                                0.9989418977178057+3.683180144105985E-7i
111.38398264826206                                0.9989419100371387+3.4710355464012E-7i
121.23054013376529                                0.9989419211484799+3.274569754140583E-7i
131.94755216767086                                0.9989419312415462+3.0932419787464415E-7i
143.61196859990804                                0.998941940482738+2.9263906570363355E-7i
156.30754179458174                                0.998941949016782+2.7732722030985533E-7i
170.1254279852589                                 0.9989419569683707+2.633092210281022E-7i
