% Model:              random_surface_grain_b_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 08:53
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 50, b 1.5
0.01                                              0.9989798584811997+7.225635995033858E-10i
0.01088401916069006                               0.9989798584812409+7.864395585068247E-10i
0.011846187309026836                              0.9989798584813218+8.559622958185193E-10i
0.01289341296525715                               0.9989798584813963+9.316309590859703E-10i
0.014033215376054847                              0.998979858481461+1.0139888856067118E-9i
0.01527377850390714                               0.9989798584815723+1.1036273663605456E-9i
0.016624009789266127                              0.9989798584816912+1.2011900531755922E-9i
0.018093604107387164                              0.9989798584818421+1.3073774606045685E-9i
0.01969311337907423                               0.998979858482012+1.4229519901207736E-9i
0.021434022335148566                              0.9989798584821848+1.5487435188451038E-9i
0.023328830978641572                              0.9989798584824532+1.6856551507539363E-9i
0.02539114433680347                               0.9989798584827582+1.834669982750421E-9i
0.027635770147361603                              0.9989798584831173+1.996857934984282E-9i
0.03007882518043099                               0.9989798584834763+2.173383545061657E-9i
0.03273785095948577                               0.9989798584839853+2.3655141519931617E-9i
0.03563193971228586                               0.9989798584845325+2.574629341675018E-9i
0.03878187145610724                               0.998979858485239+2.8022303892903407E-9i
0.04221026320156901                               0.9989798584859988+3.049951612673529E-9i
0.04594173134636476                               0.9989798584869589+3.3195714039619395E-9i
0.05000306842491095                               0.9989798584880889+3.6130256035802918E-9i
0.054423435483002665                              0.9989798584893941+3.932420821825829E-9i
0.05923457145875806                               0.9989798584909682+4.2800507509248935E-9i
0.06447102107323872                               0.9989798584928372+4.658410377787099E-9i
0.07017038286703829                               0.9989798584950336+5.070216536149309E-9i
0.07637357916378024                               0.9989798584976229+5.518425156103518E-9i
0.08312514989890632                               0.9989798585007094+6.006254092419427E-9i
0.09047357242349298                               0.9989798585043919+6.53720475207271E-9i
0.09847160957933775                               0.9989798585087202+7.115088733946552E-9i
0.10717668854455034                               0.998979858513838+7.744054003836328E-9i
0.11665131316981968                               0.9989798585199512+8.428613850773997E-9i
0.1269635127659974                                0.9989798585271648+9.173681894249686E-9i
0.13818733056536328                               0.9989798585357611+9.984604924048514E-9i
0.15040335536380253                               0.9989798585459226+1.0867200658589798E-8i
0.16369930016117026                               0.998979858557911+1.1827801326978854E-8i
0.17817063195457308                               0.9989798585721076+1.2873298205265611E-8i
0.193921257206583                                 0.9989798585889319+1.4011189201270306E-8i
0.21106426791015548                               0.9989798586088291+1.524963264887282E-8i
0.22972275360711536                               0.9989798586324748+1.6597507150717323E-8i
0.25003068519063254                               0.9989798586605477+1.8064473023953927E-8i
0.2721338768375309                                0.9989798586936195+1.966103740297916E-8i
0.2961910329772555                                0.9989798587328977+2.139863506397261E-8i
0.32237488781490303                               0.9989798587794478+2.3289702770290538E-8i
0.35087344559027134                               0.9989798588344897+2.5347764823553588E-8i
0.3818913304781854                                0.998979858899793+2.7587537368911714E-8i
0.4156512558225992                                0.998979858977061+3.0025013428069216E-8i
0.45239562325380556                               0.9989798590686138+3.267758885505118E-8i
0.49238826317067413                               0.99897985917706+3.5564166332145355E-8i
0.5359163290848518                                0.9989798593055266+3.870529206719193E-8i
0.5832923594286206                                0.9989798594576479+4.212328500017494E-8i
0.634856521630522                                 0.9989798596378753+4.58423875235952E-8i
0.6909790545715645                                0.9989798598513209+4.988891392218583E-8i
0.752062926959241                                 0.9989798601040165+5.429142290439843E-8i
0.8185467307069029                                0.9989798604032417+5.9080878229301076E-8i
0.8909078300934142                                0.9989798607576454+6.429084182026604E-8i
0.9696657893145525                                0.9989798611772479+6.995766174813996E-8i
1.0553861030365241                                0.998979861674051+7.612064782275434E-8i
1.1486842567375548                                0.9989798622621177+8.282229189368413E-8i
1.250230145991456                                 0.998979862958192+9.010844443526604E-8i
1.3607528864243346                                0.9989798637819879+9.802850248842566E-8i
1.4810460488806754                                0.9989798647567184+1.0663558783341634E-7i
1.6119733573881587                                0.9989798659098834+1.1598668937797047E-7i
1.7544748908334598                                0.9989798672738547+1.2614277595215167E-7i
1.9095738328780987                                0.9989798688864812+1.371688502539443E-7i
2.0783838185797574                                0.9989798707928234+1.4913393501522872E-7i
2.2621169304690265                                0.9989798730452114+1.6211095202153515E-7i
2.462092401494628                                 0.9989798757054011+1.761764605974863E-7i
2.679746087325692                                 0.9989798788456171+1.9141022542739193E-7i
2.9166407760237067                                0.9989798825501839+2.0789453967327077E-7i
3.1744774091091936                                0.9989798869174249+2.257132443256512E-7i
3.4551072945922217                                0.9989798920615944+2.4495037200107203E-7i
3.760545399658172                                 0.9989798981150259+2.656882955466854E-7i
4.092984818452442                                 0.9989799052303041+2.880052899771507E-7i
4.454812518844989                                 0.9989799135826597+3.1197235640242867E-7i
4.848626481239083                                 0.9989799233719124+3.376492000392621E-7i
5.277254352483543                                 0.9989799348243169+3.650791875991748E-7i
5.7437737488265865                                0.9989799481940549+3.9428317492458943E-7i
6.251534353689718                                 0.9989799637633493+4.2525212746224956E-7i
6.804181968927101                                 0.9989799818415878+4.5793846911387605E-7i
7.405684692262442                                 0.9989800027626156+4.922462961899288E-7i
8.060361408861345                                 0.9989800268792908+5.28020670407222E-7i
8.772912801613366                                 0.9989800545550523+5.650365590622484E-7i
9.548455102782302                                 0.9989800861515885+6.029880670770747E-7i
10.39255682936713                                 0.9989801220123072+6.414793627974383E-7i
11.311278765939225                                0.9989801624412458+6.800185351315638E-7i
12.311217482038908                                0.9989802076778412+7.180164889699072E-7i
13.399552696593398                                0.9989802578685822+7.547926942981671E-7i
14.584098829439863                                0.9989803130374993+7.895897392221832E-7i
15.873361110102103                                0.9989803730583152+8.215979646682647E-7i
17.276596646690383                                0.998980437632389+8.499904469421163E-7i
18.803880893409165                                0.9989805062761223+8.739669324150967E-7i
20.46617999391992                                 0.9989805783219158+8.928036811326794E-7i
22.275429519995587                                0.9989806529351392+9.059042199309146E-7i
24.244620170823307                                0.9989807291477093+9.128451235768047E-7i
26.387891048289347                                0.9989808059062157+9.134103882925369E-7i
28.720631177978312                                0.9989808821296114+9.076096038985247E-7i
31.25959000482281                                 0.9989809567704855+8.956768628082133E-7i
34.02299765678071                                 0.99898102887189+8.780508469000043E-7i
37.03069584005145                                 0.9989810976141931+8.553388971345998E-7i
40.30428030568055                                 0.9989811623469894+8.28270529650609E-7i
43.867255910485035                                0.9989812226041406+7.976464972163261E-7i
47.745205385661315                                0.9989812781034209+7.642894284954455E-7i
51.96597302486202                                 0.9989813287326142+7.290007474295673E-7i
56.55986461065008                                 0.9989813745266805+6.925268182252888E-7i
61.55986501483514                                 0.9989814156394308+6.555354353395667E-7i
67.0018750350959                                  0.9989814523145208+6.186023057561715E-7i
72.92496916841452                                 0.9989814848569774+5.822061221093277E-7i
79.37167617217558                                 0.9989815136086119+5.467303661182722E-7i
86.38828442740453                                 0.9989815389274317+5.124697716007988E-7i
94.02517429670142                                 0.9989815611716427+4.79639702482379E-7i
102.33717986325213                                0.9989815806878166+4.48386925294511E-7i
111.38398264826206                                0.9989815978028246+4.188006437228551E-7i
121.23054013376529                                0.9989816128189216+3.9092305928692054E-7i
131.94755216767086                                0.9989816260110123+3.6475897509429936E-7i
143.61196859990804                                0.9989816376261569+3.402842429579441E-7i
156.30754179458174                                0.9989816478836442+3.17452920149465E-7i
170.1254279852589                                 0.9989816569765866+2.9620326500996783E-7i
185.1648417912158                                 0.9989816650736515+2.7646257872666984E-7i
201.53376859417352                                0.9989816723209592+2.5815113634238015E-7i
219.34973989050602                                0.9989816788443299+2.4118527510094935E-7i
238.7406771860647                                 0.998981684751362+2.254798437549148E-7i
259.84581049292524                                0.9989816901332355+2.1095011834907366E-7i
282.81667802300353                                0.998981695066869+1.9751330978395317E-7i
307.81821425650804                                0.9989816996164353+1.8508974451326837E-7i
335.02993419772366                                0.9989817038351873+1.7360375216666125E-7i
364.64722232127525                                0.9989817077668941+1.6298433940151594E-7i
396.8827354637166                                 0.9989817114474079+1.5316563234287343E-7i
431.96792973341735                                0.9989817149061097+1.4408708986500494E-7i
470.1547224022139                                 0.9989817181671029+1.356935521267598E-7i
511.717300711461                                  0.9989817212503561+1.279350950998745E-7i
556.9540905800136                                 0.9989817241728703+1.207667044338272E-7i
606.1898993497584                                 0.9989817269492232+1.1414788864143304E-7i
659.7782479539546                                 0.9989817295926785+1.0804216693953077E-7i
718.1039092537357                                 0.9989817321150859+1.0241653923269058E-7i
781.585670768409                                  0.9989817345278071+9.724095929888307E-8i
850.679341636417                                  0.9989817368412919+9.248782859133711E-8i
925.8810253973965                                 0.9989817390655538+8.813156087282483E-8i
1007.7306820944617                                0.9989817412099026+8.41482242032188E-8i
1096.8160052731403                                0.9989817432826392+8.051531903214153E-8i
1193.7766417144383                                0.998981745291123+7.721162789952298E-8i
1299.3087842004172                                0.9989817472413947+7.421722024277004E-8i
1414.1701702890239                                0.9989817491379461+7.151362393394595E-8i
1539.1855229902085                                0.9989817509837603+6.90839787956046E-8i
1675.2524724082173                                0.9989817527801274+6.691337547025114E-8i
1823.3480008684423                                0.99898175452689+6.498915807721861E-8i
1984.5354578058032                                0.9989817562225952+6.330118634464732E-8i
2159.9721947827215                                0.9989817578648383+6.184209263943766E-8i
2350.917875457289                                 0.9989817594505925+6.060737748703988E-8i
2558.743520168589                                 0.9989817609767536+5.959539537599566E-8i
2784.94135008065                                  0.9989817624402674+5.880731169240389E-8i
3031.135501567582                                 0.9989817638386244+5.8246844702480444E-8i
3299.0936877709423                                0.9989817651699856+5.792010674264023E-8i
3590.739891061055                                 0.9989817664332363+5.783531596280336E-8i
3908.168177536272                                 0.9989817676281878+5.800252752881064E-8i
4253.657732750392                                 0.9989817687553163+5.843357747279223E-8i
4629.689226627268                                 0.9989817698156853+5.914187874385919E-8i
5038.962625065161                                 0.9989817708109543+6.014235492102565E-8i
5484.416576121026                                 0.9989817717431112+6.145154649549619E-8i
5969.249509970739                                 0.9989817726142524+6.30876260914789E-8i
6496.942604146125                                 0.9989817734267799+6.507056885526102E-8i
7071.284778943011                                 0.9989817741828451+6.742228479664497E-8i
7696.399902471167                                 0.9989817748846923+7.016687698362847E-8i
8376.776400682924                                 0.9989817755344014+7.333079619418482E-8i
9117.29948498494                                  0.9989817761338173+7.69431512236952E-8i
9923.286228832565                                 0.9989817766845751+8.10358700866595E-8i
10800.52374516254                                 0.9989817771882682+8.564408690937857E-8i
11755.310738783699                                0.9989817776460319+9.080631624288526E-8i
12794.50273207876                                 0.9989817780586545+9.65648493965489E-8i
13925.561288744648                                0.9989817784267935+1.0296615030614717E-7i
15156.607589006044                                0.9989817787505264+1.1006119730698072E-7i
16496.48074098024                                 0.9989817790296174+1.1790599587316109E-7i
17954.80124687834                                 0.9989817792634125+1.265621411154431E-7i
19542.040079740553                                0.9989817794508056+1.360973266820176E-7i
21269.59386668692                                 0.9989817795904634+1.465860340826395E-7i
23149.866718511657                                0.9989817796807217+1.5811019119126714E-7i
25196.359293170186                                0.9989817797200803+1.7075981226964419E-7i
27423.765732649525                                0.9989817797069256+1.8463378107999722E-7i
29848.079169243334                                0.9989817796401405+1.9984052426056284E-7i
32486.706558783815                                0.998981779519165+2.1649873219064175E-7i
35358.59366535183                                 0.9989817793442346+2.3473813672545096E-7i
38484.36109487433                                 0.9989817791164558+2.5470024197578127E-7i
41886.4523543528                                  0.998981778838171+2.7653920432683824E-7i
45589.294999810685                                0.9989817785127558+3.004227583488282E-7i
49619.47603002908                                 0.9989817781449025+3.265332438999383E-7i
54005.93278542374                                 0.9989817777405244+3.55068798938622E-7i
58780.16072274924                                 0.9989817773070284+3.862447140408634E-7i
63976.439557484366                                0.998981776853038+4.202949154449837E-7i
69632.0793976389                                  0.9989817763888855+4.5747367606071704E-7i
75787.68863625945                                 0.9989817759265825+4.98057503139355E-7i
82487.46552614598                                 0.9989817754799539+5.423471848143492E-7i
89779.51553033332                                 0.9989817750653837+5.906700567196246E-7i
97716.19672696182                                 0.9989817747019837+6.433824602328791E-7i
106354.49574860134                                0.9989817744123165+7.008723675546855E-7i
115756.43695533059                                0.9989817742232265+7.635622314169614E-7i
125989.52777950285                                0.998981774166531+8.319120216914962E-7i
137127.24343984036                                0.9989817742802654+9.064225305920462E-7i
149249.55450518322                                0.9989817746098697+9.876388418334413E-7i
162443.50109588687                                0.9989817752096252+1.0761541608667528E-6i
176803.81784572086                                0.9989817761442963+1.172613835377623E-6i
192433.6141115984                                 0.9989817774911267+1.2777197636521216E-6i
209445.1143151473                                 0.998981779342109+1.3922351509680998E-6i
227960.4637318982                                 0.998981781806781+1.5169895426487288E-6i
248112.60551377755                                0.9989817850149767+1.6528843648386635E-6i
270046.23524206877                                0.9989817891210948+1.800898829483616E-6i
293918.83986468904                                0.9989817943078331+1.9620962339307817E-6i
319901.8284775067                                 0.998981800791674+2.137630758636844E-6i
348181.76306889736                                0.9989818088288697+2.328754690985251E-6i
378961.69806447235                                0.9989818187225056+2.5368260304790515E-6i
412462.63829013566                                0.9989818308308924+2.7633165279651417E-6i
448925.12582186074                                0.9989818455774249+3.0098201058563985E-6i
488610.9671160336                                 0.9989818634623822+3.278061538456466E-6i
531805.1128214208                                 0.9989818850763578+3.5699053529600757E-6i
578817.703770128                                  0.9989819111163805+3.887364732891367E-6i
629986.2978380707                                 0.9989819424049496+4.2326103710860835E-6i
685678.2936641752                                 0.9989819799117093+4.6079787728466326E-6i
746293.5686310144                                 0.9989820247795743+5.015979941746799E-6i
812267.350047972                                  0.9989820783544902+5.4593036531404135E-6i
884073.3401525081                                 0.998982142220442+5.940824009020321E-6i
962227.1173675155                                 0.9989822182398451+6.463601144551922E-6i
1047289.8382363617                                0.9989823086002046+7.030879296038002E-6i
1139872.2666160525                                0.9989824158678275+7.64607973037442E-6i
1240639.1590588344                                0.9989825430487814+8.312786892501079E-6i
1350314.0378698776                                0.9989826936585022+9.034725628965474E-6i
1469684.3861124474                                0.9989828717992497+9.81572686824662E-6i
1599607.301861491                                 0.9989830822466116+1.0659678474078415E-5i
1741015.6523040226                                0.9989833305437733+1.1570457388839029E-5i
1894924.7718738236                                0.9989836231025134+1.2551838453287996E-5i
2062439.752514097                                 0.9989839673081979+1.3607374364069E-5i
2244763.3784132237                                0.9989843716256946+1.4740240851096277E-5i
2443204.762186492                                 0.9989848456987388+1.5953040423262734E-5i
2659188.744512702                                 0.9989854004350885+1.724755794833405E-5i
2894266.1247167517                                0.9989860480645335+1.8624462132490295E-5i
3150124.795755334                                 0.9989868021539484+2.0082948102048597E-5i
3428601.8635565974                                0.9989876775576674+2.1620319979140433E-5i
3731696.8377327556                                0.9989886902781112+2.3231517404002528E-5i
4061585.988376988                                 0.9989898572060432+2.4908597681749097E-5i
4420637.972028548                                 0.998991195708047+2.6640197395189708E-5i
4811430.839003264                                 0.9989927230295808+2.8411010781118748E-5i
5236770.544204666                                 0.9989944554874801+3.0201340804804954E-5i
5699711.094326075                                 0.9989964074410822+3.198679653260747E-5i
6203576.476104281                                 0.9989985900545656+3.3738227175865326E-5i
6751984.523072522                                 0.9990010098989434+3.54219926236E-5i
7348872.892180388                                 0.9990036674865264+3.7000665000060496E-5i
7998527.336796724                                 0.9990065558796216+3.8434231181523244E-5i
8705612.479099892                                 0.9990096595584229+3.968181604687276E-5i
9475205.302806547                                 0.9990129537574587+4.070387005394548E-5i
1.0312831606721869E7                              0.9990164044674201+4.1464673421259946E-5i
1.1224505680853104E7                              0.9990199692461595+4.193491799864016E-5i
1.2216773489967931E7                              0.9990235988800977+4.209406141865614E-5i
1.3296759674662154E7                              0.9990272398052994+4.193213243207011E-5i
1.4472218707411403E7                              0.9990308370613141+4.145071411994893E-5i
1.5751590570916245E7                              0.9990343374465442+4.066294287534791E-5i
1.7144061358519755E7                              0.9990376924984694+3.959251254919282E-5i
1.865962923181746E7                               0.9990408609554939+3.827182885890164E-5i
2.030917620904739E7                               0.9990438104513641+3.673958065431178E-5i
2.2104546299710285E7                              0.999046518332998+3.5038056683028225E-5i
2.405863054644067E7                               0.9990489716291236+3.321052928571414E-5i
2.6185459584742382E7                              0.9990511663111576+3.129896462736242E-5i
2.850030438518117E7                               0.9990531060528519+2.9342224951790784E-5i
3.1019785901381E7                                 0.9990548007113348+2.7374829461914842E-5i
3.376199441111347E7                               0.9990562647330413+2.542625704514132E-5i
3.674661940736703E7                               0.9990575156384862+2.3520715501944827E-5i
3.99950909720367E7                                0.9990585726911333+2.1677274125945324E-5i
4.353073364731901E7                               0.9990594558012726+1.991024812678039E-5i
4.737893390963144E7                               0.9990601846789919+1.8229735255329186E-5i
5.156732244854974E7                               0.9990607782218536+1.6642221950084614E-5i
5.612597255954989E7                               0.999061254106323+1.5151198147016318E-5i
6.10876160750504E7                                0.9990616285468532+1.3757739814880671E-5i
6.648787838417277E7                               0.9990619161837131+1.2461034458906055E-5i
