% Model:              random_surface_grain_b_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 09:32
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 50, b 2
0.01                                              0.9989906949903308+7.048870782606009E-10i
0.01088401916069006                               0.9989906949903711+7.672004483083697E-10i
0.011846187309026836                              0.9989906949904452+8.350223931422977E-10i
0.01289341296525715                               0.9989906949905262+9.088398821950851E-10i
0.014033215376054847                              0.99899069499057+9.891831533114628E-10i
0.01527377850390714                               0.9989906949906997+1.0766286079467914E-9i
0.016624009789266127                              0.9989906949908351+1.1718047011274564E-9i
0.018093604107387164                              0.9989906949908854+1.2753943491019253E-9i
0.01969311337907423                               0.9989906949910743+1.3881414597355407E-9i
0.021434022335148566                              0.9989906949912708+1.5108556545491192E-9i
0.023328830978641572                              0.9989906949915349+1.6444180671717939E-9i
0.02539114433680347                               0.9989906949918188+1.7897875087890884E-9i
0.027635770147361603                              0.9989906949921007+1.9480078744196103E-9i
0.03007882518043099                               0.9989906949925033+2.1202148325860084E-9i
0.03273785095948577                               0.9989906949929289+2.3076453870857785E-9i
0.03563193971228586                               0.9989906949934876+2.5116448621709342E-9i
0.03878187145610724                               0.9989906949941298+2.7336782945641196E-9i
0.04221026320156901                               0.9989906949948326+2.975339418435709E-9i
0.04594173134636476                               0.99899069499576+3.2383632761511246E-9i
0.05000306842491095                               0.9989906949967944+3.524638718215665E-9i
0.054423435483002665                              0.9989906949980336+3.836220774553918E-9i
0.05923457145875806                               0.9989906949995546+4.175346778802298E-9i
0.06447102107323872                               0.9989906950012768+4.544450880889081E-9i
0.07017038286703829                               0.9989906950033549+4.946183354365711E-9i
0.07637357916378024                               0.9989906950057935+5.3834280689867565E-9i
0.08312514989890632                               0.9989906950087064+5.859324014556249E-9i
0.09047357242349298                               0.9989906950121638+6.377287198690124E-9i
0.09847160957933775                               0.9989906950162258+6.941035878198954E-9i
0.10717668854455034                               0.9989906950210535+7.554616201340248E-9i
0.11665131316981968                               0.9989906950268159+8.222431819692784E-9i
0.1269635127659974                                0.9989906950335985+8.94927703266569E-9i
0.13818733056536328                               0.9989906950416809+9.740366313265409E-9i
0.15040335536380253                               0.998990695051253+1.0601376195138971E-8i
0.16369930016117026                               0.9989906950625358+1.1538485322942916E-8i
0.17817063195457308                               0.998990695075876+1.255841565839593E-8i
0.193921257206583                                 0.9989906950916836+1.3668482396815886E-8i
0.21106426791015548                               0.9989906951104507+1.4876645514517318E-8i
0.22972275360711536                               0.9989906951326787+1.6191567900258894E-8i
0.25003068519063254                               0.9989906951590445+1.7622673236939742E-8i
0.2721338768375309                                0.9989906951902106+1.918021540803841E-8i
0.2961910329772555                                0.9989906952271537+2.0875351445992502E-8i
0.32237488781490303                               0.9989906952709138+2.2720216237748947E-8i
0.35087344559027134                               0.9989906953227521+2.472800694735984E-8i
0.3818913304781854                                0.9989906953841817+2.6913086156392367E-8i
0.4156512558225992                                0.9989906954568724+2.9291059937061164E-8i
0.45239562325380556                               0.9989906955430357+3.187890843576476E-8i
0.49238826317067413                               0.9989906956450848+3.469507946954327E-8i
0.5359163290848518                                0.9989906957659247+3.775963510076052E-8i
0.5832923594286206                                0.9989906959090901+4.1094359416472094E-8i
0.634856521630522                                 0.9989906960786674+4.472293481379933E-8i
0.6909790545715645                                0.9989906962794686+4.8671052884476994E-8i
0.752062926959241                                 0.9989906965172619+5.296660772067579E-8i
0.8185467307069029                                0.9989906967988679+5.763986428800104E-8i
0.8909078300934142                                0.9989906971323521+6.272362299167987E-8i
0.9696657893145525                                0.9989906975272352+6.825341708074304E-8i
1.0553861030365241                                0.9989906979947383+7.426770447386366E-8i
1.1486842567375548                                0.9989906985481772+8.080806969626973E-8i
1.250230145991456                                 0.9989906992033011+8.791940613587187E-8i
1.3607528864243346                                0.9989906999787002+9.565013309950328E-8i
1.4810460488806754                                0.9989907008961502+1.040523465357857E-7i
1.6119733573881587                                0.9989907019817565+1.1318200462317323E-7i
1.7544748908334598                                0.9989907032658245+1.2309904691007138E-7i
1.9095738328780987                                0.9989907047842435+1.338674800666729E-7i
2.0783838185797574                                0.9989907065793788+1.4555539760671688E-7i
2.2621169304690265                                0.9989907087007664+1.582349012977421E-7i
2.462092401494628                                 0.9989907112067337+1.719819156564742E-7i
2.679746087325692                                 0.998990714165486+1.8687582218420738E-7i
2.9166407760237067                                0.998990717656929+2.0299889322478358E-7i
3.1744774091091936                                0.9989907217742043+2.2043544456256757E-7i
3.4551072945922217                                0.9989907266257132+2.392706362912481E-7i
3.760545399658172                                 0.9989907323372159+2.595888238379896E-7i
4.092984818452442                                 0.9989907390540695+2.814713857187025E-7i
4.454812518844989                                 0.998990746943381+3.04993810803106E-7i
4.848626481239083                                 0.9989907561965108+3.302220646615644E-7i
5.277254352483543                                 0.9989907670306255+3.572078841772323E-7i
5.7437737488265865                                0.99899077969094+3.8598310215931E-7i
6.251534353689718                                 0.9989907944507269+4.165526761583989E-7i
6.804181968927101                                 0.9989908116117829+4.488864917257602E-7i
7.405684692262442                                 0.9989908315018803+4.829099264758894E-7i
8.060361408861345                                 0.9989908544710093+5.184933685538731E-7i
8.772912801613366                                 0.9989908808839468+5.554410875792648E-7i
9.548455102782302                                 0.9989909111096611+5.934800654589812E-7i
10.39255682936713                                 0.9989909455065787+6.322498752083606E-7i
11.311278765939225                                0.9989909844031429+6.712949469298431E-7i
12.311217482038908                                0.9989910280740062+7.100609625782038E-7i
13.399552696593398                                0.9989910767125156+7.47897353226268E-7i
14.584098829439863                                0.9989911304008829+7.840679542532304E-7i
15.873361110102103                                0.9989911890811923+8.177713525098205E-7i
17.276596646690383                                0.998991252529494+8.481717945975541E-7i
18.803880893409165                                0.998991320338515+8.744400274715244E-7i
20.46617999391992                                 0.9989913919122246+8.958016385531203E-7i
22.275429519995587                                0.9989914664756693+9.115888726935888E-7i
24.244620170823307                                0.9989915431015488+9.212899293145101E-7i
26.387891048289347                                0.9989916207532215+9.24589699963686E-7i
28.720631177978312                                0.9989916983393301+9.213958498752928E-7i
31.25959000482281                                 0.9989917747754448+9.118464658636733E-7i
34.02299765678071                                 0.9989918490442484+8.962980488079264E-7i
37.03069584005145                                 0.9989919202485549+8.75295677277626E-7i
40.30428030568055                                 0.9989919876500508+8.495298814875829E-7i
43.867255910485035                                0.998992050692806+8.19786187053702E-7i
47.745205385661315                                0.9989921090089751+7.86893772451867E-7i
51.96597302486202                                 0.9989921624105845+7.516785099620632E-7i
56.55986461065008                                 0.9989922108695998+7.149243399808723E-7i
61.55986501483514                                 0.9989922544915798+6.773447911453566E-7i
67.0018750350959                                  0.9989922934857968+6.395649862895754E-7i
72.92496916841452                                 0.9989923281359454+6.021130539048549E-7i
79.37167617217558                                 0.9989923587734707+5.654191965267681E-7i
86.38828442740453                                 0.9989923857546932+5.298204471052183E-7i
94.02517429670142                                 0.9989924094426216+4.955690896165963E-7i
102.33717986325213                                0.9989924301931751+4.628431362838343E-7i
111.38398264826206                                0.998992448345324+4.317575477035856E-7i
