% Model:              random_surface_grain_b_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 08:34
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 50, b 1.25
0.01                                              0.9989627042364476+7.630955336009796E-10i
0.01088401916069006                               0.9989627042364816+8.305546138527856E-10i
0.011846187309026836                              0.9989627042365675+9.039771907727905E-10i
0.01289341296525715                               0.9989627042366375+9.838904598448104E-10i
0.014033215376054847                              0.9989627042367316+1.070868195619051E-9i
0.01527377850390714                               0.998962704236891+1.1655349111201435E-9i
0.016624009789266127                              0.9989627042370026+1.2685703332402798E-9i
0.018093604107387164                              0.9989627042371824+1.3807142467573877E-9i
0.01969311337907423                               0.998962704237394+1.502771860989852E-9i
0.021434022335148566                              0.9989627042376487+1.6356195378000658E-9i
0.023328830978641572                              0.998962704237926+1.7802111429757712E-9i
0.02539114433680347                               0.9989627042382301+1.9375848523964044E-9i
0.027635770147361603                              0.9989627042386667+2.1088705739695246E-9i
0.03007882518043099                               0.998962704239089+2.295298151630648E-9i
0.03273785095948577                               0.998962704239631+2.4982061048204875E-9i
0.03563193971228586                               0.9989627042402636+2.719051281683019E-9i
0.03878187145610724                               0.9989627042410807+2.9594192915703933E-9i
0.04221026320156901                               0.9989627042419766+3.2210359035519E-9i
0.04594173134636476                               0.9989627042430608+3.505779442168603E-9i
0.05000306842491095                               0.9989627042443617+3.8156942101660276E-9i
0.054423435483002665                              0.9989627042458677+4.1530051842281556E-9i
0.05923457145875806                               0.9989627042476533+4.520134044972153E-9i
0.06447102107323872                               0.998962704249832+4.919716440084472E-9i
0.07017038286703829                               0.9989627042523277+5.3546209023550566E-9i
0.07637357916378024                               0.9989627042553572+5.827969446664376E-9i
0.08312514989890632                               0.9989627042589186+6.343159984702856E-9i
0.09047357242349298                               0.9989627042631044+6.90389054891114E-9i
0.09847160957933775                               0.9989627042681065+7.514185840267498E-9i
0.10717668854455034                               0.9989627042739829+8.17842613910235E-9i
0.11665131316981968                               0.998962704281021+8.90137838705265E-9i
0.1269635127659974                                0.9989627042893467+9.688230448633508E-9i
0.13818733056536328                               0.9989627042991769+1.0544628270916935E-8i
0.15040335536380253                               0.9989627043108927+1.147671576028997E-8i
0.16369930016117026                               0.9989627043246851+1.2491179094000198E-8i
0.17817063195457308                               0.9989627043409988+1.359529398299519E-8i
0.193921257206583                                 0.99896270436035+1.479697724611467E-8i
0.21106426791015548                               0.9989627043832275+1.610484345817311E-8i
0.22972275360711536                               0.9989627044104082+1.7528265187843772E-8i
0.25003068519063254                               0.998962704442678+1.907744018019316E-8i
0.2721338768375309                                0.9989627044807332+2.076346170367526E-8i
0.2961910329772555                                0.9989627045258995+2.2598397478645245E-8i
0.32237488781490303                               0.9989627045794232+2.4595373369144856E-8i
0.35087344559027134                               0.9989627046427648+2.6768664317995496E-8i
0.3818913304781854                                0.9989627047178467+2.9133792788390002E-8i
0.4156512558225992                                0.9989627048067158+3.1707635068611205E-8i
0.45239562325380556                               0.998962704911997+3.4508535799037495E-8i
0.49238826317067413                               0.9989627050367045+3.755642998995534E-8i
0.5359163290848518                                0.9989627051844291+4.087297578872422E-8i
0.5832923594286206                                0.9989627053593566+4.4481695347003636E-8i
0.634856521630522                                 0.9989627055665851+4.840812390343956E-8i
0.6909790545715645                                0.9989627058119569+5.2679969943171815E-8i
0.752062926959241                                 0.9989627061025452+5.732728307862361E-8i
0.8185467307069029                                0.9989627064465798+6.238262948921493E-8i
0.8909078300934142                                0.9989627068540142+6.788127380685285E-8i
0.9696657893145525                                0.9989627073363505+7.386136672937203E-8i
1.0553861030365241                                0.9989627079073368+8.036413665403724E-8i
1.1486842567375548                                0.9989627085832254+8.743407169448887E-8i
1.250230145991456                                 0.9989627093831266+9.511910609621725E-8i
1.3607528864243346                                0.9989627103296638+1.0347078024253895E-7i
1.4810460488806754                                0.9989627114494259+1.125443905112174E-7i
1.6119733573881587                                0.9989627127739235+1.2239908599505E-7i
1.7544748908334598                                0.9989627143401005+1.3309793032984345E-7i
1.9095738328780987                                0.9989627161913008+1.4470787719848685E-7i
2.0783838185797574                                0.9989627183788219+1.5729965239163507E-7i
2.2621169304690265                                0.9989627209624471+1.7094750153691147E-7i
2.462092401494628                                 0.9989627240123327+1.857287542148228E-7i
2.679746087325692                                 0.9989627276104274+2.0172317226099063E-7i
2.9166407760237067                                0.9989627318522134+2.1901198801222574E-7i
3.1744774091091936                                0.9989627368487407+2.376765747963156E-7i
3.4551072945922217                                0.9989627427284344+2.5779665147218335E-7i
3.760545399658172                                 0.998962749639566+2.794478978414441E-7i
4.092984818452442                                 0.9989627577520362+3.0269887582949997E-7i
4.454812518844989                                 0.9989627672599047+3.2760710596300736E-7i
4.848626481239083                                 0.998962778382688+3.542141744488779E-7i
5.277254352483543                                 0.9989627913668027+3.8253973370102963E-7i
5.7437737488265865                                0.9989628064859454+4.1257434416094195E-7i
6.251534353689718                                 0.9989628240399308+4.442710617893968E-7i
6.804181968927101                                 0.9989628443521033+4.775359740817417E-7i
7.405684692262442                                 0.9989628677638865+5.122178189917178E-7i
8.060361408861345                                 0.998962894626818+5.480972750348349E-7i
8.772912801613366                                 0.9989629252901979+5.848766427569859E-7i
9.548455102782302                                 0.9989629600850523+6.221710729904586E-7i
