% Model:              c_0.8e-6_MW.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jun 25 2021, 11:08
% Table:              Table 8 - sigma_eff
% w                                               Normalized effective conductivity
0.01                                              0.9990440964269472+1.1025275260505365E-10i
0.01088401916069006                               0.9990440964269464+1.199993071849986E-10i
0.011846187309026836                              0.9990440964269541+1.3060747587663213E-10i
0.01289341296525715                               0.9990440964269284+1.4215342696683206E-10i
0.014033215376054847                              0.9990440964269338+1.5472006229368834E-10i
0.01527377850390714                               0.9990440964269567+1.6839761226688964E-10i
0.016624009789266127                              0.9990440964269474+1.8328428381316252E-10i
0.018093604107387164                              0.9990440964269933+1.9948696567166562E-10i
0.01969311337907423                               0.9990440964269472+2.171219956564587E-10i
0.021434022335148566                              0.9990440964269479+2.363159960220548E-10i
0.023328830978641572                              0.9990440964269358+2.5720678292040924E-10i
0.02539114433680347                               0.9990440964269524+2.7994435534819204E-10i
0.027635770147361603                              0.9990440964269731+3.046919726939077E-10i
0.03007882518043099                               0.9990440964269395+3.3162732687733717E-10i
0.03273785095948577                               0.9990440964269586+3.609438178003955E-10i
0.03563193971228586                               0.9990440964269577+3.928519428169955E-10i
0.03878187145610724                               0.9990440964269417+4.275808072162481E-10i
0.04221026320156901                               0.9990440964269434+4.6537976963556724E-10i
0.04594173134636476                               0.9990440964269584+5.065202328729247E-10i
0.05000306842491095                               0.9990440964269665+5.51297591566433E-10i
0.054423435483002665                              0.9990440964269781+6.000333547972937E-10i
0.05923457145875806                               0.9990440964269729+6.530774528022833E-10i
0.06447102107323872                               0.9990440964269773+7.108107503424014E-10i
0.07017038286703829                               0.9990440964269921+7.736477818537774E-10i
0.07637357916378024                               0.9990440964270267+8.42039727452682E-10i
0.08312514989890632                               0.9990440964269977+9.164776516641844E-10i
0.09047357242349298                               0.9990440964269776+9.974960306754488E-10i
0.09847160957933775                               0.9990440964270261+1.0856765891693362E-9i
0.10717668854455034                               0.999044096426995+1.181652477431643E-9i
0.11665131316981968                               0.9990440964270586+1.2861128172499448E-9i
0.1269635127659974                                0.9990440964270872+1.3998076507001846E-9i
0.13818733056536328                               0.9990440964271574+1.5235533238091521E-9i
0.15040335536380253                               0.9990440964272532+1.6582383500613734E-9i
0.16369930016117026                               0.9990440964273035+1.804829789377049E-9i
0.17817063195457308                               0.9990440964273455+1.964380190223293E-9i
0.193921257206583                                 0.9990440964273658+2.138035148104843E-9i
0.21106426791015548                               0.9990440964274356+2.327041533185117E-9i
0.22972275360711536                               0.9990440964275275+2.532756439848617E-9i
0.25003068519063254                               0.9990440964275965+2.756656931305994E-9i
0.2721338768375309                                0.999044096427771+3.0003506473038483E-9i
0.2961910329772555                                0.9990440964279214+3.265587342274415E-9i
0.32237488781490303                               0.9990440964280402+3.5542714541300264E-9i
0.35087344559027134                               0.9990440964283042+3.868475776530636E-9i
0.3818913304781854                                0.9990440964285068+4.210456338806096E-9i
0.4156512558225992                                0.9990440964288567+4.582668607613212E-9i
0.45239562325380556                               0.9990440964292215+4.987785110959124E-9i
0.49238826317067413                               0.9990440964296543+5.428714639516247E-9i
0.5359163290848518                                0.9990440964301418+5.908623114136753E-9i
0.5832923594286206                                0.9990440964306572+6.4309563296917655E-9i
0.634856521630522                                 0.9990440964313563+6.9994646916140425E-9i
0.6909790545715645                                0.999044096432123+7.61823013670538E-9i
0.752062926959241                                 0.9990440964331018+8.291695445905367E-9i
0.8185467307069029                                0.9990440964343028+9.024696140044846E-9i
0.8909078300934142                                0.9990440964356525+9.822495185467175E-9i
0.9696657893145525                                0.9990440964372163+1.0690820798944708E-8i
1.0553861030365241                                0.9990440964391102+1.1635907542544517E-8i
1.1486842567375548                                0.9990440964414116+1.266454109909266E-8i
1.250230145991456                                 0.9990440964440407+1.3784106976337035E-8i
1.3607528864243346                                0.9990440964472058+1.5002643520130763E-8i
1.4810460488806754                                0.9990440964509116+1.632889960074349E-8i
1.6119733573881587                                0.9990440964553318+1.7772397422173433E-8i
1.7544748908334598                                0.9990440964605496+1.934350085118902E-8i
1.9095738328780987                                0.999044096466755+2.1053489760221805E-8i
2.0783838185797574                                0.9990440964741225+2.291464104375427E-8i
2.2621169304690265                                0.9990440964828188+2.4940316585247755E-8i
2.462092401494628                                 0.999044096493126+2.7145059173432942E-8i
2.679746087325692                                 0.9990440965053693+2.9544696787788746E-8i
2.9166407760237067                                0.9990440965198369+3.2156456078217365E-8i
3.1744774091091936                                0.9990440965369726+3.499908585299302E-8i
3.4551072945922217                                0.9990440965572631+3.8092991445062903E-8i
3.760545399658172                                 0.9990440965813213+4.146038090204992E-8i
4.092984818452442                                 0.9990440966098303+4.5125423947719014E-8i
4.454812518844989                                 0.9990440966436012+4.9114425043756384E-8i
4.848626481239083                                 0.9990440966835997+5.345601145135466E-8i
5.277254352483543                                 0.999044096730967+5.8181337975691516E-8i
5.7437737488265865                                0.9990440967870583+6.332430928487551E-8i
6.251534353689718                                 0.9990440968535431+6.892182195452556E-8i
6.804181968927101                                 0.9990440969323116+7.50140273418177E-8i
7.405684692262442                                 0.9990440970255661+8.164461727026658E-8i
8.060361408861345                                 0.9990440971360889+8.88611344487738E-8i
8.772912801613366                                 0.9990440972669965+9.671530963498845E-8i
9.548455102782302                                 0.9990440974220801+1.0526342746598195E-7i
10.39255682936713                                 0.9990440976057471+1.1456672352190369E-7i
11.311278765939225                                0.9990440978232855+1.246918149215152E-7i
12.311217482038908                                0.9990440980809993+1.3571116685563757E-7i
13.399552696593398                                0.9990440983862435+1.4770359770672115E-7i
14.584098829439863                                0.9990440987478201+1.6075482570943998E-7i
15.873361110102103                                0.9990440991760894+1.7495805885998532E-7i
17.276596646690383                                0.9990440996833407+1.904146325782701E-7i
18.803880893409165                                0.9990441002841497+2.072346950546695E-7i
20.46617999391992                                 0.9990441009956459+2.2553794550596926E-7i
22.275429519995587                                0.9990441018382943+2.45454424776454E-7i
24.244620170823307                                0.999044102836138+2.671253611738483E-7i
26.387891048289347                                0.9990441040178238+2.9070407182312E-7i
28.720631177978312                                0.9990441054169288+3.163569191362081E-7i
31.25959000482281                                 0.9990441070735241+3.4426431973667057E-7i
34.02299765678071                                 0.9990441090346562+3.74621803910413E-7i
37.03069584005145                                 0.9990441113561329+4.076411173726821E-7i
40.30428030568055                                 0.9990441141037446+4.435513554113339E-7i
43.867255910485035                                0.9990441173552362+4.826001183874932E-7i
47.745205385661315                                0.9990441212023004+5.25054664506704E-7i
51.96597302486202                                 0.999044125753165+5.712030383216381E-7i
56.55986461065008                                 0.9990441311352756+6.21355136957486E-7i
61.55986501483514                                 0.9990441374986051+6.758436685723724E-7i
67.0018750350959                                  0.9990441450198279+7.350249444762085E-7i
72.92496916841452                                 0.9990441539062836+7.992794281893718E-7i
79.37167617217558                                 0.9990441644016659+8.690119398877361E-7i
86.38828442740453                                 0.9990441767914793+9.446513923632255E-7i
94.02517429670142                                 0.9990441914100816+1.0266498965454644E-6i
102.33717986325213                                0.9990442086483508+1.115481023020254E-6i
111.38398264826206                                0.9990442289623378+1.211636962787404E-6i
121.23054013376529                                0.9990442528835275+1.3156242446747255E-6i
131.94755216767086                                0.9990442810292556+1.427957588882892E-6i
143.61196859990804                                0.9990443141151177+1.5491513803095219E-6i
156.30754179458174                                0.9990443529678337+1.6797081285399895E-6i
170.1254279852589                                 0.9990443985387277+1.8201031902386033E-6i
185.1648417912158                                 0.9990444519171797+1.9707649327634406E-6i
201.53376859417352                                0.9990445143433833+2.1320494730139137E-6i
219.34973989050602                                0.9990445872190504+2.30420915327506E-6i
238.7406771860647                                 0.9990446721141003+2.4873540266435917E-6i
259.84581049292524                                0.9990447707675455+2.6814059333767036E-6i
282.81667802300353                                0.9990448850796686+2.886045186168311E-6i
307.81821425650804                                0.9990450170921008+3.100650698244309E-6i
335.02993419772366                                0.9990451689519673+3.3242354351358744E-6i
364.64722232127525                                0.9990453428566435+3.55538055794515E-6i
396.8827354637166                                 0.9990455409748307+3.7921735018207023E-6i
431.96792973341735                                0.9990457653420818+4.032157323903346E-6i
470.1547224022139                                 0.9990460177300589+4.272300824667614E-6i
511.717300711461                                  0.9990462994921915+4.509000589571495E-6i
556.9540905800136                                 0.9990466113935743+4.738126712230556E-6i
606.1898993497584                                 0.9990469534379944+4.9551225211242784E-6i
659.7782479539546                                 0.9990473247105133+5.155164648147959E-6i
718.1039092537357                                 0.9990477232589532+5.33338269096429E-6i
781.585670768409                                  0.9990481460377025+5.485128024685823E-6i
850.679341636417                                  0.9990485889363582+5.6062704950199335E-6i
925.8810253973965                                 0.9990490469039625+5.69349204882622E-6i
1007.7306820944617                                0.9990495141691385+5.744540882759673E-6i
1096.8160052731403                                0.9990499845390122+5.758410772257963E-6i
1193.7766417144383                                0.9990504517464034+5.735418816951958E-6i
1299.3087842004172                                0.9990509098043482+5.6771696305228554E-6i
1414.1701702890239                                0.9990513533267346+5.586411744041192E-6i
1539.1855229902085                                0.9990517777798469+5.466808208648329E-6i
1675.2524724082173                                0.9990521796429306+5.322654505412944E-6i
1823.3480008684423                                0.9990525564705568+5.158580542241259E-6i
1984.5354578058032                                0.9990529068664368+4.979270216851452E-6i
2159.9721947827215                                0.9990532303854145+4.789223486350359E-6i
2350.917875457289                                 0.9990535273887453+4.592575305298168E-6i
2558.743520168589                                 0.9990537988754052+4.392975375907494E-6i
2784.94135008065                                  0.9990540463102627+4.1935247312332904E-6i
3031.135501567582                                 0.999054271464137+3.996759933806082E-6i
3299.0936877709423                                0.9990544762751749+3.804673451110727E-6i
3590.739891061055                                 0.9990546627360747+3.618758671243631E-6i
3908.168177536272                                 0.9990548328070974+3.440069345726319E-6i
4253.657732750392                                 0.9990549883546824+3.2692852511574212E-6i
4629.689226627268                                 0.9990551311099508+3.106778089838882E-6i
5038.962625065161                                 0.9990552626455248+2.952673578862622E-6i
5484.416576121026                                 0.9990553843651993+2.806907341651025E-6i
5969.249509970739                                 0.9990554975033241+2.6692734804465146E-6i
6496.942604146125                                 0.9990556031317375+2.539465551752282E-6i
7071.284778943011                                 0.9990557021703632+2.417110236130061E-6i
7696.399902471167                                 0.9990557954010975+2.3017943446657407E-6i
8376.776400682924                                 0.9990558834825347+2.193085954976763E-6i
9117.29948498494                                  0.9990559669649389+2.090550538051403E-6i
9923.286228832565                                 0.9990560463050824+1.9937628649666304E-6i
10800.52374516254                                 0.9990561218794599+1.9023154989471464E-6i
11755.310738783699                                0.9990561939972333+1.8158245074348863E-6i
12794.50273207876                                 0.9990562629111537+1.7339330273543248E-6i
13925.561288744648                                0.9990563288273673+1.6563131499523861E-6i
15156.607589006044                                0.9990563919141048+1.5826665511619739E-6i
16496.48074098024                                 0.9990564523088389+1.5127242043832232E-6i
17954.80124687834                                 0.9990565101245256+1.4462454845861564E-6i
19542.040079740553                                0.9990565654548076+1.3830168167593548E-6i
21269.59386668692                                 0.9990566183779821+1.3228501225757833E-6i
23149.866718511657                                0.9990566689609224+1.2655811110444218E-6i
25196.359293170186                                0.9990567172612541+1.2110675919314222E-6i
27423.765732649525                                0.9990567633301602+1.1591878195138746E-6i
29848.079169243334                                0.9990568072138208+1.1098389579901628E-6i
32486.706558783815                                0.9990568489546293+1.0629356825468465E-6i
35358.59366535183                                 0.9990568885924107+1.0184089271195745E-6i
38484.36109487433                                 0.9990569261650739+9.762048518326378E-7i
41886.4523543528                                  0.9990569617092634+9.362839480993856E-7i
45589.294999810685                                0.9990569952605162+8.98620309873076E-7i
49619.47603002908                                 0.9990570268537179+8.632011812339582E-7i
54005.93278542374                                 0.99905705652316+8.300265671664738E-7i
58780.16072274924                                 0.9990570843026942+7.99109054478435E-7i
63976.439557484366                                0.9990571102258011+7.70473836151559E-7i
69632.0793976389                                  0.9990571343256489+7.441588078408741E-7i
75787.68863625945                                 0.9990571566351899+7.202148583132301E-7i
82487.46552614598                                 0.999057177187116+6.98706296623719E-7i
89779.51553033332                                 0.9990571960142776+6.797113343011236E-7i
97716.19672696182                                 0.9990572131493122+6.633227912132213E-7i
106354.49574860134                                0.9990572286253104+6.496488997009189E-7i
115756.43695533059                                0.9990572424756978+6.3881420999401E-7i
125989.52777950285                                0.9990572547345002+6.309606554187229E-7i
137127.24343984036                                0.9990572654369398+6.262488210921007E-7i
149249.55450518322                                0.9990572746196195+6.248591894782478E-7i
162443.50109588687                                0.9990572823211736+6.269937145185013E-7i
176803.81784572086                                0.9990572885828838+6.328773940353304E-7i
192433.6141115984                                 0.9990572934494419+6.427600464176418E-7i
209445.1143151473                                 0.9990572969699826+6.56918245411912E-7i
227960.4637318982                                 0.9990572991987813+6.756574360948512E-7i
248112.60551377755                                0.9990573001970455+6.993142197567296E-7i
270046.23524206877                                0.9990573000341504+7.28258872760451E-7i
293918.83986468904                                0.9990572987895406+7.628979321809432E-7i
319901.8284775067                                 0.999057296555011+8.036771239854752E-7i
348181.76306889736                                0.9990572934373327+8.510842434391355E-7i
378961.69806447235                                0.9990572895610585+9.056523797299239E-7i
412462.63829013566                                0.9990572850724659+9.679631285105586E-7i
448925.12582186074                                0.9990572801433609+1.0386500663506535E-6i
488610.9671160336                                 0.9990572749761348+1.1184022645692787E-6i
531805.1128214208                                 0.9990572698095113+1.2079678959499303E-6i
578817.703770128                                  0.9990572649247701+1.30815798875107E-6i
